"SEX","AGE","CENSUS2010POP","ESTIMATESBASE2010","POPESTIMATE2010","POPESTIMATE2011","POPESTIMATE2012","POPESTIMATE2013"
0,0,3944153,3944154,3951196,3962091,3941616,3941783
0,1,3978070,3978076,3957772,3965687,3976214,3955942
0,2,4096929,4096935,4090760,3970771,3978498,3989135
0,3,4119040,4119044,4111845,4101830,3981693,3989538
0,4,4063170,4063172,4077502,4121819,4111675,3991690
0,5,4056858,4056864,4064628,4087540,4131791,4121797
0,6,4066381,4066386,4072982,4074930,4097799,4142191
0,7,4030579,4030580,4042983,4083002,4084995,4108053
0,8,4046486,4046489,4025558,4052872,4093004,4095205
0,9,4148353,4148355,4125384,4035461,4062932,4103335
0,10,4172541,4172544,4187038,4135175,4045479,4073258
0,11,4114415,4114419,4115443,4196868,4145265,4055918
0,12,4106243,4106245,4113204,4125463,4207149,4155875
0,13,4118013,4118016,4119467,4123518,4135987,4217964
0,14,4165982,4165984,4145308,4130538,4134705,4147439
0,15,4242820,4242823,4230585,4157762,4142975,4147445
0,16,4316139,4316143,4312623,4245621,4172554,4158116
0,17,4395295,4395296,4375278,4331274,4263848,4191188
0,18,4500855,4500864,4490120,4397164,4352653,4285609
0,19,4585234,4585255,4570441,4515507,4421656,4376606
0,20,4519129,4519158,4567664,4595769,4542548,4445721
0,21,4354294,4354331,4387249,4592140,4626290,4568663
0,22,4264642,4264698,4286562,4412177,4623188,4655731
0,23,4198571,4198625,4216723,4312571,4443361,4652806
0,24,4249363,4249421,4243330,4242699,4343710,4472517
0,25,4262350,4262412,4289304,4268522,4273646,4372201
0,26,4152305,4152370,4160530,4312090,4297300,4300520
0,27,4248869,4248934,4236767,4181508,4337931,4322247
0,28,4215249,4215309,4247171,4256050,4204965,4360245
0,29,4223076,4223134,4209966,4263928,4277121,4224985
0,30,4285668,4285723,4303980,4224531,4282114,4294831
0,31,3970218,3970270,4042155,4316668,4240574,4297330
0,32,3986847,3986893,3967191,4052752,4330923,4254331
0,33,3880150,3880198,3933170,3976822,4064979,4342738
0,34,3839216,3839253,3821879,3941371,3987742,4075159
0,35,3956434,3956470,3947955,3828986,3950737,3996723
0,36,3802087,3802142,3829880,3953541,3836764,3957642
0,37,3934445,3934483,3896373,3834159,3959886,3842679
0,38,4121880,4121933,4079767,3899294,3839142,3964301
0,39,4364796,4364846,4324037,4081874,3902730,3842425
0,40,4383274,4383328,4387086,4324252,4084121,3904767
0,41,4114985,4115028,4163077,4385353,4324708,4084927
0,42,4076104,4076171,4082438,4160513,4383990,4323573
0,43,4105105,4105140,4093482,4079134,4158329,4380926
0,44,4211496,4211542,4178128,4089206,4075784,4154727
0,45,4508868,4508916,4438174,4171717,4083792,4070408
0,46,4519761,4519797,4529333,4429745,4164419,4076903
0,47,4535265,4535303,4535152,4519258,4420484,4156273
0,48,4538796,4538833,4534383,4522988,4508027,4409800
0,49,4605901,4605931,4598833,4520377,4509243,4494922
0,50,4660295,4660345,4645935,4582763,4504988,4494482
0,51,4464631,4464688,4498791,4628758,4566011,4489236
0,52,4500846,4500914,4480434,4479877,4609720,4547907
0,53,4380354,4380402,4439246,4459913,4459493,4589261
0,54,4291999,4292048,4288253,4417276,4437914,4438340
0,55,4254709,4254757,4258793,4265090,4393712,4415162
0,56,4037513,4037546,4092993,4234466,4240749,4369543
