Element,Number,Symbol,Weight,Boil,Melt,Density Vapour,Fusion,
Hydrogen,1,H,1.01,20.46,13.96,71,0.45,0.06,
Helium,2,He,4.00,4.26,3.46,126,0.08,0.02,
Lithium,3,Li,6.94,1603.16,453.66,530,136.01,3.02,
Beryllium,4,Be,9.01,3043.16,1550.16,1850,309.46,11.73,
Boron,5,B,10.81,2303.16,2340,536.01,22.19,
Carbon,6,C,12.01,5103.16,4000.16,2260,719.01,
Nitrogen,7,N,14.01,77.36,63.16,810,2.79,0.36,
Oxygen,8,O,16.00,90.16,54.36,1140,3.41,0.22,
Fluorine,9,F,19.00,84.96,53.56,1505,3.16,0.26,
Neon,10,Ne,20.18,27.16,24.56,1200,1.77,0.34,
Sodium,11,Na,22.99,1165.16,370.96,970,101.01,2.60,
Magnesium,12,Mg,24.31,1380.16,923.16,1740,136.17,8.96,
Aluminum,13,Al,26.98,2723.16,933.16,2700,284.34,10.68,
Silicon,14,Si,28.09,2953.16,1683.16,2330,170.02,46.48,
Phosphorus,15,P,30.98,
Sulfur,16,S,32.06,717.76,392.16,2070,12.60,1.42,
Chlorine,17,Cl,35.45,238.46,172.16,1560,10.22,3.22,
Argon,18,Ar,39.95,87.36,83.76,1400,6.53,1.18,
Potassium,19,K,39.10,1033.16,336.86,860,79.15,2.30,
Calcium,20,Ca,40.08,1713.16,1111.16,1550,153.85,8.79,
Scandium,21,Sc,44.96,3003.16,1812.16,3000,339.20,15.91,
Titanium,22,Ti,47.90,3533.16,1941.16,4510,445.98,15.49,
Vanadium,23,V,50.94,3723.16,2173.16,6100,443.89,17.59,
Chromium,24,Cr,52.00,2938.16,2148.16,7190,305.57,13.82,
Manganese,25,Mn,54.94,2423.16,1518.16,7430,224.87,14.66,
Iron,26,Fe,55.85,3273.16,1809.16,7860,354.27,15.37,
Cobalt,27,Co,58.93,3173.16,1768.16,8900,389.45,15.24,
Nickel,28,Ni,58.71,3003.16,1726.16,8900,381.07,17.63,
Copper,29,Cu,63.54,2868.16,1356.16,8960,304.86,13.02,
Zinc,30,Zn,65.37,1179.16,692.66,7140,114.74,7.37,
Gallium,31,Ga,69.72,2510.16,302.96,5910,,5.61,
Germanium,32,Ge,72.59,3103.16,1210.56,5320,284.76,31.83,
Arsenic,33,As,74.99,886.16,1090.16,5720,32.45,27.72,
Selenium,34,Se,78.96,958.16,490.16,4790,13.99,5.23,
Bromine,35,Br,79.91,331.16,265.96,3120,14.99,5.28,
Krypton,36,Kr,83.80,121.16,115.86,2600,9.05,1.63,
Rubidium,37,Rb,85.47,961.16,312.06,1530,75.80,2.30,
