county,technology,columns,candidate,votes
Alachua,Optical,1,under,217
Baker,Optical,1,under,79
Bay,Optical,1,under,541
Bradford,Optical,2,under,41
Brevard,Optical,1,under,277
Broward,Votomatic,1,under,4946
Calhoun,Optical,1,under,78
Charlotte,Optical,2,under,170
Citrus,Optical,1,under,154
Clay,Optical,1,under,223
Collier,Votomatic,1,under,2070
Columbia,Optical,1,under,76
DeSoto,Datavote,2,under,66
Dixie,Datavote,1,under,22
Duval,Votomatic,2,under,5090
Escambia,Optical,1,under,679
Flagler,Optical,1,under,60
Franklin,Optical,2,under,70
Gadsden,Optical,2,under,121
Gilchrist,Datavote,1,under,47
Glades,Datavote,1,under,68
Gulf,Optical,2,under,47
Hamilton,Optical,2,under,31
Hardee,Datavote,1,under,84
Hendry,Optical,2,under,39
Hernando,Optical,1,under,83
Highlands,Votomatic,1,under,466
Hillsborough,Votomatic,1,under,5431
Holmes,Optical,1,under,97
IndianRiver,Votomatic,1,under,1044
Jackson,Optical,2,under,94
Jefferson,Datavote,1,under,30
Lafayette,Optical,2,under,17
Lake,Optical,1,under,203
Lee,Votomatic,1,under,1975
Leon,Optical,1,under,176
Levy,Optical,2,under,51
Liberty,Optical,2,under,21
Madison,Datavote,1,under,31
Manatee,Optical,1,under,109
Marion,Votomatic,1,under,2410
Martin,Lever,1,under,177
MiamiDade,Votomatic,1,under,10570
Monroe,Optical,1,under,83
Nassau,Datavote,2,under,197
Okaloosa,Optical,1,under,83
Okeechobee,Optical,2,under,84
Orange,Optical,1,under,640
Osceola,Votomatic,1,under,634
PalmBeach,Votomatic,2,under,10134
Pasco,Votomatic,1,under,1763
Pinellas,Votomatic,1,under,4240
Polk,Optical,1,under,219
Putnam,Optical,1,under,82
SantaRosa,Optical,1,under,163
Sarasota,Votomatic,1,under,1846
Seminole,Optical,1,under,203
StJohns,Optical,1,under,426
StLucie,Optical,1,under,537
Sumter,Votomatic,1,under,596
Suwannee,Optical,2,under,39
Taylor,Optical,2,under,87
Union,Hand,2,under,25
Volusia,Optical,1,under,339
Wakulla,Datavote,1,under,49
Walton,Optical,1,under,135
Washington,Optical,1,under,305
Alachua,Optical,1,over,105
Baker,Optical,1,over,46
Bay,Optical,1,over,141
Bradford,Optical,2,over,695
Brevard,Optical,1,over,136
Broward,Votomatic,1,over,7826
Calhoun,Optical,1,over,0
Charlotte,Optical,2,over,2985
Citrus,Optical,1,over,54
Clay,Optical,1,over,157
Collier,Votomatic,1,over,1134
Columbia,Optical,1,over,615
DeSoto,Datavote,2,over,568
Dixie,Datavote,1,over,306
Duval,Votomatic,2,over,21855
Escambia,Optical,1,over,3680
Flagler,Optical,1,over,7
Franklin,Optical,2,over,350
Gadsden,Optical,2,over,1946
Gilchrist,Datavote,1,over,241
Glades,Datavote,1,over,281
Gulf,Optical,2,over,362
Hamilton,Optical,2,over,373
Hardee,Datavote,1,over,323
Hendry,Optical,2,over,760
Hernando,Optical,1,over,148
Highlands,Votomatic,1,over,520
Hillsborough,Votomatic,1,over,3640
Holmes,Optical,1,over,40
IndianRiver,Votomatic,1,over,790
Jackson,Optical,2,over,998
Jefferson,Datavote,1,over,540
Lafayette,Optical,2,over,160
Lake,Optical,1,over,3138
Lee,Votomatic,1,over,2531
Leon,Optical,1,over,0
Levy,Optical,2,over,708
Liberty,Optical,2,over,167
Madison,Datavote,1,over,444
Manatee,Optical,1,over,1264
Marion,Votomatic,1,over,890
Martin,Lever,1,over,56
MiamiDade,Votomatic,1,over,17833
Monroe,Optical,1,over,97
Nassau,Datavote,2,over,1295
Okaloosa,Optical,1,over,679
Okeechobee,Optical,2,over,774
Orange,Optical,1,over,1197
Osceola,Votomatic,1,over,1039
PalmBeach,Votomatic,2,over,19218
Pasco,Votomatic,1,over,2124
Pinellas,Votomatic,1,over,4258
Polk,Optical,1,over,668
Putnam,Optical,1,over,79
SantaRosa,Optical,1,over,67
Sarasota,Votomatic,1,over,994
Seminole,Optical,1,over,48
StJohns,Optical,1,over,130
StLucie,Optical,1,over,82
Sumter,Votomatic,1,over,170
Suwannee,Optical,2,over,686
Taylor,Optical,2,over,517
Union,Hand,2,over,233
Volusia,Optical,1,over,171
Wakulla,Datavote,1,over,373
Walton,Optical,1,over,72
Washington,Optical,1,over,36
Alachua,Optical,1,Bush,34124
Baker,Optical,1,Bush,5610
Bay,Optical,1,Bush,38637
Bradford,Optical,2,Bush,5414
Brevard,Optical,1,Bush,115185
Broward,Votomatic,1,Bush,177902
Calhoun,Optical,1,Bush,2873
Charlotte,Optical,2,Bush,35426
Citrus,Optical,1,Bush,29767
Clay,Optical,1,Bush,41736
Collier,Votomatic,1,Bush,60450
Columbia,Optical,1,Bush,10964
DeSoto,Datavote,2,Bush,4256
Dixie,Datavote,1,Bush,2697
Duval,Votomatic,2,Bush,152098
Escambia,Optical,1,Bush,73017
Flagler,Optical,1,Bush,12613
Franklin,Optical,2,Bush,2454
Gadsden,Optical,2,Bush,4767
Gilchrist,Datavote,1,Bush,3300
Glades,Datavote,1,Bush,1841
Gulf,Optical,2,Bush,3550
Hamilton,Optical,2,Bush,2146
Hardee,Datavote,1,Bush,3765
Hendry,Optical,2,Bush,4747
Hernando,Optical,1,Bush,30646
Highlands,Votomatic,1,Bush,20206
Hillsborough,Votomatic,1,Bush,180760
Holmes,Optical,1,Bush,5011
IndianRiver,Votomatic,1,Bush,28635
Jackson,Optical,2,Bush,9138
Jefferson,Datavote,1,Bush,2478
Lafayette,Optical,2,Bush,1670
Lake,Optical,1,Bush,50010
Lee,Votomatic,1,Bush,106141
Leon,Optical,1,Bush,39062
Levy,Optical,2,Bush,6858
Liberty,Optical,2,Bush,1317
Madison,Datavote,1,Bush,3038
Manatee,Optical,1,Bush,57952
Marion,Votomatic,1,Bush,55141
Martin,Lever,1,Bush,33970
MiamiDade,Votomatic,1,Bush,289533
Monroe,Optical,1,Bush,16059
Nassau,Datavote,2,Bush,16404
Okaloosa,Optical,1,Bush,52093
Okeechobee,Optical,2,Bush,5057
Orange,Optical,1,Bush,134517
Osceola,Votomatic,1,Bush,26212
PalmBeach,Votomatic,2,Bush,152951
Pasco,Votomatic,1,Bush,68582
Pinellas,Votomatic,1,Bush,184825
Polk,Optical,1,Bush,90295
Putnam,Optical,1,Bush,13447
SantaRosa,Optical,1,Bush,36274
